id,order_id,product_id,quantity,unit_price
1,1001,101,1,1299.99
2,1001,102,2,29.99
3,1001,105,1,49.99
4,1002,103,1,349.99
5,1003,101,1,1299.99
6,1003,102,1,29.99
7,1003,108,1,149.99
8,1004,110,1,89.99
9,1005,109,2,399.99
10,1005,106,1,299.99
11,1005,104,1,599.99
12,1006,106,1,299.99
13,1007,104,1,599.99
14,1007,105,1,49.99
15,1008,108,1,149.99
16,1008,102,1,29.99
17,1009,101,1,1299.99
18,1009,109,1,399.99
19,1010,103,1,349.99
20,1010,107,1,79.99
21,1010,105,2,49.99
22,1011,104,1,599.99
23,1012,111,5,12.99
24,1012,112,2,24.99
25,1013,101,1,1299.99
26,1013,108,1,149.99
27,1013,110,1,89.99
28,1014,106,1,299.99
29,1014,107,1,79.99
30,1015,108,1,149.99
31,1016,109,1,399.99
32,1016,106,1,299.99
33,1016,102,1,29.99
34,1017,106,1,299.99
35,1018,101,1,1299.99
36,1019,103,1,349.99
37,1019,107,2,79.99
38,1019,105,2,49.99
39,1020,104,1,599.99
40,1020,106,1,299.99
